"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2019,201901,2611,2019000016124,19504.8,2019000026111,80001,1,1,19659.6,1,1,1,29,1,1,100,0,0,8,81,1,10,59000,1,11
2019,201901,3075,2019000047906,12074.4,2019000030751,250001,1,1,12074.4,1,0,2,45,4,1,100,0,0,5,50,1,10,20000,1,11
2019,201901,3075,2019000047906,12074.4,2019000030751,250001,1,3,18111.6,0,0,2,30,4,1,100,0,0,6,63,1,10,2000,1,11
2019,201901,3230,2019000058745,23065.2,2019000032301,30201,1,1,23065.2,0,0,2,49,4,2,200,0,0,10,101,1,10,900,1,11
2019,201901,3385,2019000070359,7275.6,2019000033851,60001,1,1,7275.6,0,0,2,23,6,1,100,0,0,7,71,1,10,24300,1,11
2019,201901,3385,2019000070359,7275.6,2019000033851,60001,1,2,5727.6,0,0,1,31,6,1,100,0,0,6,65,1,12,9500,2,20
2019,201901,3539,2019000079826,20433.6,2019000035391,100001,1,2,16718.4,0,0,1,55,1,1,100,0,0,3,30,1,10,0,1,11
2019,201901,4778,2019000164851,8978.4,2019000047781,10001,1,1,8978.4,0,0,2,41,4,1,100,0,0,11,114,1,10,50000,1,11
2019,201901,5397,2019000206372,24303.6,2019000053971,260001,1,2,18111.6,0,0,1,41,1,1,100,0,0,6,65,1,10,23600,1,11
2019,201901,5552,2019000216382,9288.0,2019000055521,120001,1,1,9442.8,0,0,2,56,6,1,100,0,0,11,114,1,10,80000,1,11
2019,201901,5707,2019000225549,33901.2,2019000057071,150001,1,2,29257.2,0,0,1,46,1,1,100,0,0,10,101,1,10,80000,1,11
2019,201901,6016,2019000247422,1702.8,2019000060161,230001,1,1,1702.8,3,1,1,41,1,1,100,0,0,8,81,1,10,50000,2,20
2019,201901,6171,2019000258081,58359.6,2019000061711,10001,1,1,58359.6,0,0,2,41,6,1,100,0,0,6,63,1,10,50000,1,11
2019,201901,6171,2019000258081,58359.6,2019000061711,10001,1,2,75232.8,0,0,1,37,6,1,100,0,0,5,50,1,10,30000,1,11
2019,201901,6481,2019000278849,2322.0,2019000064811,250001,1,1,2322.0,2,0,2,44,3,4,400,0,0,6,63,1,10,0,1,11
2019,201901,6790,2019000301008,8668.8,2019000067901,190001,1,1,8668.8,2,0,1,53,1,1,100,0,0,10,101,1,10,59000,1,11
2019,201901,6790,2019000301008,8668.8,2019000067901,190001,1,2,12848.4,2,0,2,51,1,1,100,0,0,11,114,1,10,40000,1,11
2019,201901,6790,2019000301008,8668.8,2019000067901,190001,1,3,20278.8,0,0,1,21,6,1,100,0,0,8,81,1,10,10000,1,11
2019,201901,6790,2019000301008,8668.8,2019000067901,190001,1,4,9288.0,0,0,2,18,6,1,100,0,0,5,50,1,10,6000,1,11
2019,201901,7100,2019000320867,6346.8,2019000071001,100001,1,2,18421.2,0,0,1,37,2,2,200,0,0,6,64,1,10,15000,1,11
2019,201901,7874,2019000376330,27090.0,2019000078741,80001,1,1,26935.2,1,1,2,28,1,1,100,0,0,10,101,1,10,50000,1,11
2019,201901,7874,2019000376330,27090.0,2019000078741,80001,1,2,31888.8,1,1,1,28,1,1,100,0,0,7,71,1,10,31200,1,11
2019,201901,8029,2019000388076,13622.4,2019000080291,40001,1,1,13622.4,0,0,1,35,1,1,100,0,0,2,25,1,10,18000,1,11
2019,201901,8183,2019000399794,6811.2,2019000081831,250001,1,1,6966.0,2,0,2,42,5,1,100,0,0,10,101,1,10,129000,1,11
2019,201901,8493,2019000420890,15634.8,2019000084931,30201,1,1,15634.8,1,0,2,57,1,1,100,0,0,11,114,1,10,56000,1,11
2019,201901,8493,2019000420890,15634.8,2019000084931,30201,1,3,11145.6,0,0,1,19,6,1,100,0,0,7,71,1,10,950,1,11
2019,201901,8803,2019000443673,13158.0,2019000088031,40001,1,1,13158.0,2,0,1,43,3,1,100,0,0,6,65,1,10,40000,1,11
2019,201901,8957,2019000453757,13777.2,2019000089571,110001,1,1,13932.0,2,0,1,46,1,1,100,0,0,10,101,1,10,109000,2,20
2019,201901,9267,2019000474869,4644.0,2019000092671,170001,1,1,4644.0,0,0,2,58,1,2,200,0,0,6,65,1,10,25000,1,11
2019,201901,9267,2019000474869,4644.0,2019000092671,170001,1,2,6501.6,0,0,1,55,1,2,200,0,0,6,63,1,10,50000,1,11
2019,201901,9577,2019000497180,42105.6,2019000095771,10001,1,1,42105.6,0,0,1,20,6,1,100,0,0,8,81,1,10,800,1,11
2019,201901,9731,2019000507929,7430.4,2019000097311,270201,1,1,7275.6,0,0,1,33,6,2,200,0,0,8,81,1,10,45000,1,11
2019,201901,10041,2019000529156,3096.0,2019000100411,40001,1,1,2941.2,1,1,2,21,6,1,100,0,0,7,71,1,10,20000,1,11
2019,201901,10041,2019000529156,3096.0,2019000100411,40001,1,2,2631.6,1,1,1,25,6,1,100,0,0,6,63,1,10,55000,1,11
2019,201901,10196,2019000540495,7585.2,2019000101961,20001,1,1,7585.2,2,1,1,30,1,1,100,0,0,6,63,1,10,60000,1,11
2019,201901,10505,2019000560748,7430.4,2019000105051,60001,1,1,7430.4,2,2,2,30,1,1,100,0,0,8,81,1,10,47000,1,11
2019,201901,10505,2019000560748,7430.4,2019000105051,60001,1,2,5263.2,2,2,1,31,1,1,100,0,0,7,71,1,10,30000,1,11
2019,201901,10660,2019000572214,7894.8,2019000106601,70001,1,1,7894.8,1,0,1,39,4,1,100,0,0,7,71,1,10,30000,1,11
2019,201901,10660,2019000572214,7894.8,2019000106601,70001,1,3,9288.0,0,0,1,27,6,2,200,0,0,6,63,1,10,18000,1,11
2019,201901,10815,2019000582567,63932.4,2019000108151,110001,1,1,63932.4,0,0,2,52,1,1,100,0,0,7,71,1,10,17500,1,11
2019,201901,11125,2019000604886,9597.6,2019000111251,150001,1,1,9597.6,0,0,1,30,6,1,100,0,0,7,71,1,10,70000,1,11
2019,201901,11434,2019000626450,67183.2,2019000114341,200001,1,1,67183.2,0,0,1,57,6,2,200,0,0,10,101,1,10,20000,1,11
2019,201901,11899,2019000657688,1548.0,2019000118991,40001,1,2,3715.2,1,0,1,49,4,1,100,0,0,7,71,1,10,48000,2,20
2019,201901,12208,2019000679497,2631.6,2019000122081,100001,1,1,2476.8,2,0,1,59,1,1,100,0,0,6,63,1,10,60000,2,20
2019,201901,12208,2019000679497,2631.6,2019000122081,100001,1,2,1702.8,2,0,2,45,1,1,100,0,0,7,71,1,10,11000,1,11
2019,201901,12363,2019000689674,18576.0,2019000123631,100001,1,2,31579.2,1,1,2,21,6,1,100,0,0,6,63,1,10,30000,1,11
2019,201901,12363,2019000689674,18576.0,2019000123631,100001,1,3,13467.6,0,0,1,19,6,1,100,0,0,5,50,1,10,25000,1,11
2019,201901,12518,2019000701544,8359.2,2019000125181,110001,1,1,8359.2,4,0,1,47,1,1,100,0,0,6,64,1,10,90000,1,11
2019,201901,12518,2019000701544,8359.2,2019000125181,110001,1,2,15170.4,4,0,2,41,1,9,913,0,0,7,71,1,10,5000,1,11
2019,201901,12673,2019000711981,15170.4,2019000126731,260001,1,1,15170.4,1,1,2,32,4,1,100,0,0,10,101,1,10,27000,1,11
2019,201901,14066,2019000809572,10216.8,2019000140661,270301,1,1,10216.8,1,1,2,32,1,1,100,0,0,10,101,1,10,22000,1,11
2019,201901,14066,2019000809572,10216.8,2019000140661,270301,1,2,8359.2,1,1,1,34,1,1,100,0,0,7,71,1,10,38800,1,11
2019,201901,14685,2019000852065,36223.2,2019000146851,270201,1,1,36223.2,0,0,2,26,6,2,200,0,0,6,64,1,10,27000,1,11
2019,201901,14840,2019000863909,2167.2,2019000148401,230001,1,1,2322.0,1,1,2,31,1,1,100,0,0,11,114,1,10,58000,1,11
2019,201901,14840,2019000863909,2167.2,2019000148401,230001,1,2,2167.2,1,1,1,40,1,1,100,0,0,6,63,1,10,30000,1,13
2019,201901,15149,2019000885055,16254.0,2019000151491,120001,1,1,16099.2,1,1,1,30,1,1,100,0,0,6,63,1,10,40000,1,11
2019,201901,15149,2019000885055,16254.0,2019000151491,120001,1,2,12693.6,1,1,2,30,1,1,100,0,0,10,101,1,10,1200,1,11
2019,201901,15304,2019000894926,10526.4,2019000153041,70001,1,1,10526.4,1,0,1,57,4,1,100,0,0,6,65,1,10,80000,1,11
2019,201901,15614,2019000917345,8514.0,2019000156141,120001,1,1,8514.0,1,0,2,42,1,1,100,0,0,8,81,1,10,15000,1,11
2019,201901,15614,2019000917345,8514.0,2019000156141,120001,1,2,7275.6,1,0,1,48,1,1,100,0,0,6,65,1,10,52000,2,20
2019,201901,15614,2019000917345,8514.0,2019000156141,120001,1,4,7275.6,0,0,1,18,6,1,100,0,0,6,61,1,10,0,1,11
2019,201901,15769,2019000928580,55108.8,2019000157691,130301,1,1,55108.8,0,0,1,38,6,1,100,0,0,7,71,1,10,130000,1,11
2019,201901,16078,2019000949075,1702.8,2019000160781,250001,1,1,1702.8,0,0,1,64,1,1,100,0,0,6,65,1,10,90000,1,11
2019,201901,16078,2019000949075,1702.8,2019000160781,250001,1,2,2012.4,0,0,2,38,1,6,663,0,0,8,81,1,10,13000,1,11
2019,201901,16233,2019000960581,6037.2,2019000162331,120001,1,1,6037.2,2,0,2,30,6,1,100,0,0,6,63,1,10,14000,1,11
2019,201901,16388,2019000971529,71672.4,2019000163881,190001,1,1,71672.4,0,0,1,39,6,2,200,0,0,11,116,1,10,70000,1,11
2019,201901,16852,2019001004835,21207.6,2019000168521,270301,1,1,21362.4,0,0,1,54,1,1,100,0,0,10,101,1,10,30000,2,20
2019,201901,17162,2019001025552,31114.8,2019000171621,90001,1,1,31114.8,1,1,2,22,6,2,200,0,0,6,65,1,10,26000,1,11
2019,201901,17317,2019001036038,1548.0,2019000173171,230001,1,1,1548.0,0,0,1,59,1,1,100,0,0,10,101,1,10,87000,1,11
2019,201901,17317,2019001036038,1548.0,2019000173171,230001,1,2,1548.0,0,0,2,58,1,1,100,0,0,6,63,1,10,40000,1,11
2019,201901,17471,2019001046122,14706.0,2019000174711,120001,1,2,15789.6,1,0,1,56,1,1,100,0,0,6,65,1,10,70000,1,11
2019,201901,17626,2019001057258,10062.0,2019000176261,200001,1,1,10062.0,0,0,2,54,2,2,200,0,0,10,101,1,10,70000,1,11
2019,201901,18400,2019001115464,13932.0,2019000184001,230001,1,1,14086.8,0,0,1,61,1,1,100,0,0,10,101,1,10,79000,2,20
2019,201901,18400,2019001115464,13932.0,2019000184001,230001,1,2,12074.4,0,0,2,60,1,6,620,0,0,6,61,1,10,12000,1,11
2019,201901,18555,2019001126402,9597.6,2019000185551,270101,1,1,9752.4,2,2,2,26,6,2,200,0,0,6,63,1,12,29000,1,11
2019,201901,19174,2019001168119,57740.4,2019000191741,20001,1,1,57895.2,1,0,1,62,2,2,200,0,0,6,63,1,10,20000,1,11
2019,201901,20103,2019001232992,41641.2,2019000201031,50001,1,1,41641.2,2,0,1,45,1,1,100,0,0,11,114,1,14,120000,1,12
2019,201901,20258,2019001245255,15789.6,2019000202581,30201,1,1,15789.6,0,0,1,31,6,1,100,0,0,10,101,1,10,68000,1,11
2019,201901,20258,2019001245255,15789.6,2019000202581,30201,1,2,16873.2,0,0,2,33,6,1,100,0,0,10,101,1,10,35000,1,11
2019,201901,20567,2019001265625,17028.0,2019000205671,250001,1,1,16873.2,2,1,2,26,6,1,100,0,0,7,71,1,10,1000,1,11
2019,201901,20722,2019001276775,4798.8,2019000207221,120001,1,2,6501.6,0,0,1,54,1,1,100,0,0,11,114,1,10,368000,1,11
2019,201901,21341,2019001318797,50774.4,2019000213411,130401,1,1,50774.4,3,0,1,49,1,1,100,0,0,6,63,1,10,93000,1,11
2019,201901,21341,2019001318797,50774.4,2019000213411,130401,1,2,51084.0,3,0,2,47,1,1,100,0,0,6,63,1,10,18000,1,11
2019,201901,21341,2019001318797,50774.4,2019000213411,130401,1,3,33591.6,0,0,2,19,6,1,100,0,0,6,65,1,10,25400,1,11
2019,201901,21496,2019001329667,29412.0,2019000214961,30101,1,1,29412.0,0,0,2,29,6,1,100,0,0,10,101,1,10,42000,1,11
2019,201901,21496,2019001329667,29412.0,2019000214961,30101,1,2,35604.0,0,0,1,30,6,1,100,0,0,10,101,1,10,68000,1,11
2019,201901,21961,2019001364090,6037.2,2019000219611,60001,1,1,6192.0,3,0,1,52,1,1,100,0,0,7,71,1,10,105000,1,11
2019,201901,21961,2019001364090,6037.2,2019000219611,60001,1,3,9907.2,0,0,2,24,6,1,100,0,0,8,81,1,10,19300,1,11
2019,201901,21961,2019001364090,6037.2,2019000219611,60001,1,4,13467.6,0,0,1,22,6,1,100,0,0,6,63,1,10,13000,1,11
2019,201901,21961,2019001364090,6037.2,2019000219611,60001,1,5,8668.8,0,0,2,19,6,1,100,0,0,6,65,1,10,5000,1,11
2019,201901,22115,2019001374464,4179.6,2019000221151,60001,1,1,4179.6,0,0,2,61,1,1,100,0,0,4,40,1,10,55000,1,11
2019,201901,22115,2019001374464,4179.6,2019000221151,60001,1,2,6192.0,0,0,1,47,1,2,200,0,0,6,63,1,10,40000,2,20
2019,201901,22270,2019001385327,15944.4,2019000222701,130301,1,1,15944.4,0,0,1,49,6,1,100,0,0,11,115,1,10,368000,1,11
2019,201901,22425,2019001396371,19504.8,2019000224251,20001,1,1,19504.8,2,0,2,40,4,1,100,0,0,10,101,1,10,69000,1,11
2019,201901,22425,2019001396371,19504.8,2019000224251,20001,1,2,12848.4,2,0,1,33,6,1,100,0,0,10,101,1,10,79000,1,11
2019,201901,22580,2019001406317,18421.2,2019000225801,180001,1,1,18576.0,1,0,1,55,1,1,100,0,0,10,101,1,10,90000,1,11
2019,201901,22580,2019001406317,18421.2,2019000225801,180001,1,2,26780.4,1,0,2,58,1,1,100,0,0,6,65,1,10,15600,1,11
2019,201901,22580,2019001406317,18421.2,2019000225801,180001,1,3,22600.8,0,0,2,19,6,1,100,0,0,6,63,1,10,150,1,11
2019,201901,22889,2019010067615,928.8,2019000228891,30002,4,1,928.8,0,0,1,27,2,1,100,0,0,6,63,1,14,45000,1,12
2019,201901,23044,2019010114201,1702.8,2019000230441,40002,4,1,1702.8,0,0,1,47,2,6,600,0,0,6,65,1,10,80000,1,11
2019,201901,23354,2019000101829,27399.6,2019000233541,30002,1,1,27399.6,1,0,2,39,6,6,699,0,0,6,63,1,12,14000,1,11
2019,201901,23509,2019000197879,14706.0,2019000235091,20002,1,1,14551.2,1,0,2,62,4,1,100,0,0,8,81,1,10,36000,1,11
2019,201901,23509,2019000197879,14706.0,2019000235091,20002,1,2,28173.6,0,0,2,30,6,1,100,0,0,10,101,1,10,34000,1,11
2019,201901,23663,2019000293894,3870.0,2019000236631,40002,1,1,3870.0,1,0,1,65,1,3,371,0,0,6,64,1,10,18000,1,11
2019,201901,23818,2019000384732,5418.0,2019000238181,40002,1,1,5572.8,2,1,1,37,6,3,374,0,0,7,71,1,10,27000,1,11
2019,201901,23818,2019000384732,5418.0,2019000238181,40002,1,2,3715.2,2,1,2,28,6,3,374,0,0,6,63,1,10,4800,1,11
2019,201901,23973,2019000475144,33127.2,2019000239731,10202,1,1,33127.2,1,0,2,39,1,1,100,0,0,11,114,1,10,105000,1,11
2019,201901,23973,2019000475144,33127.2,2019000239731,10202,1,2,37152.0,1,0,1,40,1,1,100,0,0,10,101,1,10,50000,1,11
2019,201901,24283,2019000678468,4179.6,2019000242831,40002,1,1,4179.6,0,0,2,21,6,3,371,0,0,6,63,1,10,28000,1,11
2019,201901,24437,2019000771328,3715.2,2019000244371,40002,1,1,3715.2,1,0,1,61,1,3,375,0,0,5,50,1,10,0,1,11
2019,201901,24437,2019000771328,3715.2,2019000244371,40002,1,2,3560.4,1,0,2,60,1,3,375,0,0,6,63,1,10,26400,1,11
2019,201901,24592,2019000862282,27709.2,2019000245921,10102,1,1,27709.2,0,0,1,22,6,4,410,0,0,6,65,1,14,30000,1,12
2019,201901,24902,2019001075960,6966.0,2019000249021,20002,1,1,6966.0,3,0,2,47,1,1,100,0,0,8,81,1,10,33000,1,11
2019,201901,25057,2019001161998,14086.8,2019000250571,40002,1,1,13932.0,3,0,2,56,1,6,674,0,0,10,101,1,10,26000,1,11
2019,201901,25057,2019001161998,14086.8,2019000250571,40002,1,2,3096.0,3,0,1,65,1,6,600,0,0,10,101,1,10,70000,1,11
2019,201901,25366,2019001360361,3715.2,2019000253661,40002,1,2,6037.2,0,0,1,30,6,3,324,0,0,6,63,1,10,30000,1,11
2019,201901,25366,2019001360361,3715.2,2019000253661,40002,1,3,3870.0,0,0,1,28,6,8,802,0,0,7,71,1,10,15000,1,11
2019,201901,25676,2019010009590,1857.6,2019000256761,12804,4,1,1857.6,0,0,1,51,6,1,100,1,100,7,71,1,10,70000,1,11
2019,201901,27069,2019010076303,7430.4,2019000270691,20704,4,1,7430.4,0,0,1,19,6,1,100,0,0,6,65,1,10,3000,1,11
2019,201901,28772,2019000005981,15170.4,2019000287721,10904,1,1,15170.4,0,0,1,39,1,1,100,0,0,10,101,1,10,100000,1,11
2019,201901,28927,2019000014004,9752.4,2019000289271,12704,1,1,9752.4,0,0,2,44,1,1,100,0,0,6,63,1,10,37400,1,11
2019,201901,28927,2019000014004,9752.4,2019000289271,12704,1,2,8823.6,0,0,1,51,1,1,100,0,0,6,65,1,10,100000,1,11
2019,201901,29081,2019000022803,19040.4,2019000290811,11204,1,1,19195.2,1,1,1,34,1,1,100,0,0,11,114,1,10,165000,1,11
2019,201901,29081,2019000022803,19040.4,2019000290811,11204,1,2,18266.4,1,1,2,33,1,1,100,0,0,11,116,1,10,115000,1,11
2019,201901,29701,2019000057451,15634.8,2019000297011,40004,1,2,15634.8,0,0,2,59,1,1,100,0,0,6,63,1,12,510,1,11
2019,201901,30010,2019000073487,5727.6,2019000300101,11004,1,1,5727.6,0,0,1,63,1,1,100,0,0,10,101,1,10,95000,1,11
2019,201901,30320,2019000090105,12538.8,2019000303201,11204,1,1,12384.0,2,1,1,31,1,1,100,0,0,8,81,1,10,24000,1,11
2019,201901,30475,2019000096717,6811.2,2019000304751,11404,1,1,6811.2,1,0,1,49,6,1,100,0,0,7,71,1,10,90000,1,11
2019,201901,30629,2019000104253,14706.0,2019000306291,12204,1,4,20433.6,0,0,1,42,2,7,700,1,100,0,2,1,10,30000,1,11
2019,201901,30784,2019000112332,9288.0,2019000307841,20504,1,1,9288.0,0,0,2,60,1,1,100,0,0,10,101,1,10,234000,1,11
2019,201901,30939,2019000121200,14706.0,2019000309391,11004,1,1,14860.8,1,0,2,58,4,1,100,0,0,6,65,1,10,55000,1,11
2019,201901,30939,2019000121200,14706.0,2019000309391,11004,1,2,19659.6,0,0,1,29,6,1,100,0,0,6,63,1,10,15000,1,11
2019,201901,31249,2019000136578,19350.0,2019000312491,11804,1,2,28483.2,0,0,1,28,6,1,100,1,100,6,65,1,10,36400,1,11
2019,201901,31868,2019000168879,8514.0,2019000318681,60004,1,1,8359.2,0,0,2,64,1,1,100,0,0,6,65,1,10,21000,1,11
2019,201901,31868,2019000168879,8514.0,2019000318681,60004,1,2,8204.4,0,0,1,61,1,1,100,0,0,10,101,1,10,110000,1,11
2019,201901,32177,2019000184334,14860.8,2019000321771,10904,1,1,14860.8,1,0,1,48,6,1,100,0,0,6,63,1,10,78000,1,11
2019,201901,32332,2019000191637,15944.4,2019000323321,12704,1,1,15944.4,0,0,2,28,1,8,830,2,200,11,114,1,10,67000,1,11
2019,201901,32332,2019000191637,15944.4,2019000323321,12704,1,2,19504.8,0,0,1,31,1,8,830,2,200,11,114,1,10,60000,1,11
2019,201901,32487,2019000199025,14396.4,2019000324871,12704,1,1,14396.4,3,1,1,49,4,8,813,4,498,11,114,1,10,140000,1,11
2019,201901,32642,2019000206351,45046.8,2019000326421,11504,1,1,44892.0,0,0,2,52,4,1,100,0,0,6,63,1,10,35000,1,11
2019,201901,32797,2019000213803,42415.2,2019000327971,13304,1,1,42415.2,0,0,1,55,1,1,100,0,0,8,81,1,10,30000,2,20
2019,201901,32797,2019000213803,42415.2,2019000327971,13304,1,2,47988.0,0,0,2,52,1,1,100,0,0,6,63,1,10,30000,1,11
2019,201901,33106,2019000229928,30960.0,2019000331061,20404,1,1,30960.0,0,0,2,30,1,1,100,0,0,7,71,1,10,100000,1,11
2019,201901,33106,2019000229928,30960.0,2019000331061,20404,1,2,24768.0,0,0,1,34,1,1,100,0,0,7,71,1,10,85000,1,11
2019,201901,33261,2019000237943,13777.2,2019000332611,10704,1,1,13932.0,1,0,1,63,1,4,400,0,0,11,114,1,10,50000,1,11
2019,201901,33261,2019000237943,13777.2,2019000332611,10704,1,2,11610.0,1,0,2,57,1,4,400,0,0,10,101,1,10,30000,1,11
2019,201901,33261,2019000237943,13777.2,2019000332611,10704,1,3,16873.2,0,0,1,24,6,4,400,0,0,10,101,1,10,62000,1,11
2019,201901,33416,2019000245209,14860.8,2019000334161,10104,1,1,14706.0,1,0,1,40,4,1,100,0,0,10,101,1,10,12000,1,11
2019,201901,33571,2019000253453,27244.8,2019000335711,11004,1,1,27244.8,0,0,1,52,6,1,100,0,0,10,101,1,10,0,1,11
